"username,password,expectedResult,scenario"
"tomsmith,SuperSecretPassword!,success,Valid Login"
"tomsmith,SuperSecretPassword!,success,Valid Login With Remembered Session"
"tomsmith,SuperSecretPassword!,success,Valid Login Case Sensitivity Correct"
"tomsmith,SuperSecretPassword!,success,Valid Login After Refresh"
"tomsmith,SuperSecretPassword!,success,Valid Login Multiple Attempts"

"tomsmith,wrongpass,failure,Invalid Password"
"wronguser,SuperSecretPassword!,failure,Invalid Username"
"wronguser,wrongpass,failure,Invalid Username and Password"
",,failure,Empty Username and Password"
"tomsmith,,failure,Empty Password"
